Freq [GHz],Theta [deg],Phi [deg],dB(RealizedGainTotal) []
28,90,53,6.679471216
28,90,54,6.754846416
28,90,55,6.825147821
28,90,56,6.890302962
28,90,57,6.950248298
28,90,58,7.004929715
28,90,59,7.054303048
28,90,60,7.098334604
28,90,61,7.137001712
28,90,62,7.170293273
28,90,63,7.198210321
28,90,64,7.220766581
28,90,65,7.237989032
28,90,66,7.24991845
28,90,67,7.25660994
28,90,68,7.258133431
28,90,69,7.254574136
28,90,70,7.246032956
28,90,71,7.23262681
28,90,72,7.214488881
28,90,73,7.191768753
28,90,74,7.164632416
28,90,75,7.133262126
28,90,76,7.097856084
28,90,77,7.058627921
28,90,78,7.015805958
28,90,79,6.969632226
28,90,80,6.920361219
28,90,81,6.868258373
28,90,82,6.813598258
28,90,83,6.756662471
28,90,84,6.697737257
28,90,85,6.637110848
28,90,86,6.575070566
28,90,87,6.511899717
28,90,88,6.44787433
28,90,89,6.3832598
28,90,90,6.318307512
28,90,91,6.253251518
28,90,92,6.188305362
28,90,93,6.123659138
28,90,94,6.059476864
28,90,95,5.995894259
28,90,96,5.933017005
28,90,97,5.87091952
28,90,98,5.809644329
28,90,99,5.749202007
28,90,100,5.689571741
28,90,101,5.630702448
28,90,102,5.572514448
28,90,103,5.514901605
28,90,104,5.457733885
28,90,105,5.400860235
28,90,106,5.344111712
28,90,107,5.287304756
28,90,108,5.230244522
28,90,109,5.172728205
28,90,110,5.114548263
28,90,111,5.055495483
28,90,112,4.995361844
28,90,113,4.933943126
28,90,114,4.871041243
28,90,115,4.806466285
28,90,116,4.740038253
28,90,117,4.6715885
28,90,118,4.600960875
28,90,119,4.528012599
28,90,120,4.452614876
28,90,121,4.374653273
28,90,122,4.294027888
28,90,123,4.210653329
28,90,124,4.124458527
28,90,125,4.035386414
28,90,126,3.943393481
28,90,127,3.848449234
28,90,128,3.750535578
28,90,129,3.649646132
28,90,130,3.545785507
28,90,131,3.438968538
28,90,132,3.329219507
28,90,133,3.216571342
28,90,134,3.101064823
28,90,135,2.982747783
28,90,136,2.861674322
28,90,137,2.737904037
28,90,138,2.611501266
28,90,139,2.482534356
28,90,140,2.351074948
28,90,141,2.217197299
28,90,142,2.080977617
28,90,143,1.942493432
28,90,144,1.801822992
28,90,145,1.659044684
28,90,146,1.514236489
28,90,147,1.367475456
28,90,148,1.21883721
28,90,149,1.068395486
28,90,150,0.916221681
28,90,151,0.762384444
28,90,152,0.606949276
28,90,153,0.449978167
28,90,154,0.291529246
28,90,155,0.131656453
28,90,156,-0.029590756
28,90,157,-0.192167702
28,90,158,-0.356034743
28,90,159,-0.521157519
28,90,160,-0.687507183
28,90,161,-0.855060607
28,90,162,-1.023800576
28,90,163,-1.193715964
28,90,164,-1.364801892
28,90,165,-1.537059874
28,90,166,-1.710497933
28,90,167,-1.885130719
28,90,168,-2.060979592
28,90,169,-2.238072694
28,90,170,-2.416445
28,90,171,-2.596138346
28,90,172,-2.777201436
28,90,173,-2.959689821
28,90,174,-3.143665853
28,90,175,-3.329198603
28,90,176,-3.51636375
28,90,177,-3.705243428
28,90,178,-3.895926033
28,90,179,-4.088505971
28,90,180,-4.283083365
